core,section,cut,ave_depth,ave_depth_adj,y_m,x_m,FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,x1_m (ppb),x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb)
alhic2302,155_2,stick1,126.40376704855,126.39945639253219,0.016,0.015,0.050619167,4.37,1.61,117.5291167,2.796986166,2.577315176,1.905393038,1.299899321,1.402150681,1.270746119,1.872689815,1.981960534,1.411617403,1.106799699,0.430305564,1.245331197,1.718210117,1.636102437,1.858920037,0.840440555,4.764208735,5.903281351,7.931392157,8.783397174,8.606111281,14.70434795,21.40517377,0.0,0.0,20.0763364,0.0,0.0,0.0,0.0
alhic2302,155_2,stick1,126.40411957318,126.39980891716219,0.016,0.015,0.042604133,3.694,1.58,230.8531076,4.153972216,4.4656799,3.31295261,2.737883088,1.490573046,2.156870189,2.617641569,1.098917373,1.118121506,2.191699648,2.811919654,4.142916259,2.041453669,4.276578304,1.766908059,3.494928547,3.773660083,10.13112284,6.282339765,13.41745807,8.180129902,11.64709902,21.19340648,17.75276715,16.75290604,11.9266294,33.96294074,0.0,31.95363243,165.6476305
alhic2302,155_2,stick1,126.40446564945,126.4001549934322,0.016,0.015,0.03798304,3.2744,1.55,249.1219062,4.946082269,3.673254591,3.344411802,2.756007218,1.868615545,1.935423497,2.642498214,2.641315455,1.672205901,2.704180878,3.72748229,2.655401038,3.434731566,3.488636694,1.486405246,5.600183729,3.527309323,10.48956526,12.91888016,13.37764721,11.46917628,9.798081452,38.03494256,19.91260465,0.0,0.0,19.04747034,26.12821721,35.84117587,0.0
alhic2302,155_2,stick1,126.4047826946,126.4004720385822,0.016,0.015,0.05381385,4.6458,1.55,97.04418666,2.555049276,2.121272742,1.311423311,1.111572923,1.1800786,1.109928584,1.450660848,0.994293631,1.18028098,2.082188077,0.404760281,2.108522793,1.885575771,1.538974482,3.147415948,3.162189698,1.991724154,1.233962313,5.802643393,10.62252882,8.095205626,6.915708869,6.71148201,0.0,0.0,28.32674353,0.0,0.0,0.0,43.71411038
alhic2302,155_2,stick1,126.40506593014,126.40075527412219,0.016,0.015,0.044311887,3.8588,1.55,179.7869947,2.94932724,2.86238353,1.964251942,1.754911152,1.770333676,1.244247429,1.258379622,1.207503727,1.075029779,2.317956155,1.96621816,2.845179122,2.617036371,2.616575538,2.123515613,5.280371035,4.837634005,5.994261837,6.040222187,4.300119115,9.831090799,5.599113432,12.22597524,17.06858623,8.053629583,22.93396862,16.32701477,0.0,30.72215875,0.0
alhic2302,155_2,stick1,126.40529593273,126.40098527671219,0.016,0.015,0.057058133,4.976,1.55,164.5854786,2.648362255,2.222954156,2.020199359,1.415299104,2.029552134,1.20786792,1.368177343,1.406638244,0.974024691,2.127446101,2.863094329,1.325755829,2.032415228,2.612645153,1.9789708,4.84638363,2.817714284,5.819000633,6.254524999,10.01853968,4.580950927,10.87081128,12.6597442,17.6741676,12.50905,35.62147441,12.67971428,0.0,0.0,0.0
alhic2302,155_2,stick1,126.40563255666,126.40132190064219,0.016,0.015,0.0568054,4.876,1.52,160.448617,2.9956589,2.073355438,1.490831591,1.632202726,1.052171267,1.375007435,1.276102761,1.766120661,1.118123693,1.972533542,0.766888678,1.775539013,1.786275454,1.457927273,2.650367272,4.119030987,5.660501196,5.844889993,7.06764606,11.18123693,7.668886784,17.4706827,6.35803438,17.75280188,12.56470411,26.83496863,12.73612769,0.0,0.0,165.6479545
alhic2302,155_2,stick1,126.40599600262,126.40168534660219,0.016,0.015,0.05986518,5.2284,1.54,172.2489254,2.160335901,2.421395439,1.68970104,1.298975867,0.935993955,1.688473059,0.838301291,1.00551129,0.795731304,1.559762521,1.819230232,1.684789118,2.421395439,1.38341089,1.257451937,4.263820857,3.133192008,2.773075384,2.980626813,3.182925215,4.366152558,14.50551856,3.016533869,8.422717611,11.92250725,0.0,12.08516917,33.15547099,45.48075581,78.59074604
alhic2302,155_2,stick1,126.40636505329,126.4020543972722,0.016,0.015,0.043758587,3.1108,1.54,184.7643619,4.106602006,3.72674132,2.74171683,1.503700768,1.365880716,1.994968588,2.166294779,0.764232411,2.902994291,1.70710201,1.74219479,4.897962879,1.987595371,2.271137573,0.860146457,5.833241486,5.511153224,5.311298593,10.19432837,14.51497145,11.94647856,2.834955362,8.253710041,11.52293857,8.155462699,34.83593149,0.0,0.0,31.11062126,107.5183071
alhic2302,155_2,stick1,126.40673649783,126.40242584181219,0.016,0.015,0.05612178,3.9246,1.6,183.0880246,2.886605898,2.938055403,2.682651424,1.705377656,0.99842604,1.064284318,1.291646982,0.595877932,1.13174357,1.663800828,1.746517854,2.695750308,2.324615264,1.770823561,2.347319996,1.895093158,0.954908637,4.732869328,7.153737132,4.526974279,17.07706347,8.841746638,6.435481664,17.96904895,12.7177549,18.10789711,12.8912666,17.68349328,24.25719242,83.83285701
