Depth (cm),FlowThrough (mL),FlowRate (mL/min),Conductivity (µS),Dust Concentration (<12 µm),x1_m (ppb),x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb)
4.72856459,0.062378383,5.4638,1.78,66.5089363,1.287626384,1.568590826,0.867380051,0.863058864,0.419198773,0.515596158,0.446959125,0.750555237,0.254557189,0.598768093,1.047560448,0.404227388,0.697151478,0.796604248,1.508487045,1.364011,2.577391537,1.596809485,4.290807595,2.036457511,0,5.966184114,2.894998771,12.12505388,5.721076794,0,0,15.9098243,0,0
4.755366776,0.03370983,2.9186,1.78,103.0057596,2.221151068,1.720059387,0.976983393,0.443624445,0.110815246,0.954085345,0.827075889,0.793637469,0.706568347,0.830993191,1.292306076,0.748002911,0.860029694,0.982718002,2.791381124,2.524035305,2.384668171,1.969878305,2.646642844,5.652546776,7.753836456,14.7201739,16.07115875,22.43681617,10.58657137,0,0,0,0,0
4.785298921,0.06098309,5.2346,1.76,29.49759836,1.205469715,1.188503844,0.810075648,0.735671379,0.612557203,0.376709286,0.731496882,0.548377103,0.390572188,0.612467909,0.892940529,1.03369028,0.237700769,0.271610185,0.308600247,2.790439154,1.757574844,0.544448164,2.194490645,3.1245775,0,2.034230143,2.961236354,4.134158386,0,0,0,0,0,0
4.822784527,0.043873893,3.8096,1.78,101.1618971,1.954818069,2.271467567,1.44768241,0.954385622,1.021718244,0.628334379,1.90641305,1.219558244,0.904801506,1.489788571,1.489385195,1.149433025,1.651976413,1.887640591,1.715771745,2.42412955,2.442964067,6.054102588,6.10052176,1.44768241,3.971693854,8.482514121,8.232018148,28.73163672,0,11.58145928,0,0,0,53.61786703
4.860956762,0.058159727,5.1092,1.78,41.63421353,1.638504557,1.090424782,1.294324971,0.565681995,0.834981922,0.552995288,0.671131466,0.689997676,0.40953251,1.123850275,0.749030654,0.867096611,0.996959801,0.284795499,1.941487456,0.365737624,1.842896297,0.570878395,1.53401478,3.276260083,2.996122618,4.265963649,0,4.334851062,0,8.736693554,0,0,0,0
4.900284188,0.06212013,5.3322,1.8,68.52361609,1.731277583,1.283424561,0.908854986,0.674058682,0.601345024,0.517739657,0.628344188,0.753675536,0.894654127,0.450943023,0.525957747,1.217723673,0.933399681,1.333193313,1.211806648,1.71210204,0.862702194,3.741378516,5.026753504,1.02246186,2.805107982,1.996995819,2.907034211,0,11.4897223,0,23.29295924,0,0,0
4.931768248,0.054184853,4.7392,1.84,61.70514392,1.281339588,1.404498934,1.780006806,0.772773393,0.827293136,0.339178126,1.029091559,0.370307141,0.732624753,1.206293287,1.004972226,0.465352389,1.605141639,1.222749707,1.389273605,1.177701827,2.47260854,1.225513381,6.586185979,1.172199604,6.431822246,4.578904704,6.665528537,0,6.586185979,9.377596834,0,0,0,130.2444005
4.957454376,0.06167952,5.3172,1.82,64.24188635,1.545001925,1.20446143,1.296742187,0.581891868,0.545076679,0.446946986,0.904046841,0.433748255,0.514882927,1.059716821,1.23600154,1.430826283,1.175084322,0.537086812,1.220463235,1.379466005,1.73772988,4.84470668,3.616187364,2.05953171,1.412573189,2.011261435,8.78340216,8.174958331,0,0,0,16.09009148,0,38.1394761
4.979532096,0.063639117,5.447,1.84,79.19283387,1.476035892,1.537515996,0.961091892,0.6109719,0.763089164,0.505381854,0.700967306,0.840784271,1.122814086,1.027085671,1.197942173,0.594329061,0.683340443,0.520548658,1.478602911,2.673978065,1.684221128,3.13035125,3.50483653,3.99222786,5.476307078,7.797320039,5.67529383,11.88484848,0,7.98445572,11.36849262,0,0,0
5.00341407,0.05787324,5.0766,1.8,66.16701136,1.529000158,2.03509921,1.09749279,0.413441643,0.968209946,0.714513535,1.059855863,0.346706666,1.234679389,1.452103211,0.564553904,0.653541713,1.502842493,1.431026532,1.951098293,2.205288689,1.852019083,5.16333944,3.083217056,6.58495674,4.516431235,6.430621816,6.240719997,4.356309633,0,8.77994232,0,0,0,0
5.046181009,0.06643757,4.6842,1.8,83.68702075,1.413862975,1.800031984,1.203873587,0.765309685,0.8434,0.553250729,0.755371662,0.50335571,0.836515103,0.562184704,0.81963071,0.569295,1.527299865,0.997244685,1.133057493,2.241177722,2.823238471,1.499248004,2.68576591,1.91203452,0,3.734442422,8.154362497,0,5.37153182,0,0,0,40.98153549,0
5.078917614,0.0475065,4.131,1.83,67.65834341,2.091904215,1.907071583,1.584574459,0.69253492,0.629061388,0.870432747,0.821631201,0.844728116,0.835615437,0.982765138,1.375498662,1.592311639,1.220525813,1.045980764,2.376861688,3.134274295,4.512323361,3.494483007,2.81702126,4.010954099,3.667996432,5.222596483,3.801276522,10.61386349,7.512056694,0,0,0,0,0
5.108390989,0.052675,4.515,1.8,104.7058488,1.964178796,1.754347642,1.027162132,1.02204493,1.063757885,0.959475497,0.741012295,0.634869107,0.904349269,1.41813709,0.620266988,0.478691048,0.825575361,1.572247592,1.071821355,0.807639307,3.560875245,3.151602411,2.540613583,4.823196099,9.924271809,2.35507622,0,9.57242536,6.774969555,19.2927844,0,0,25.84445784,0
5.131632096,0.045616433,3.9956,1.79,82.77869705,1.999518595,2.144976112,1.70179923,1.442458684,1.064579513,0.503610094,1.222392264,1.172971327,1.392381188,0.614090957,1.193742445,1.381906098,2.85996815,0.726213216,1.650229556,1.86522257,1.762232441,4.367127674,3.911655244,4.177143564,3.819975824,5.438989015,11.87633468,5.526818616,7.823310488,11.1390495,0,0,0,154.7090209
5.158725741,0.04685234,4.0332,1.78,79.03148959,1.191309324,1.933698427,1.757326534,0.446857222,0.956766669,0.588390581,0.238029414,0.999276072,0.847282436,0.398594666,1.162252999,1.883634379,0.618783497,1.060584918,2.410047818,2.724030466,2.287662577,4.960582968,4.760588283,4.066955693,11.15762879,2.647757613,3.854350563,0,15.2338825,10.84521518,0,0,0,0
5.190571292,0.046391893,4.0576,1.76,118.6186093,2.46495593,2.265353189,1.267691621,0.70917369,1.449394087,0.990384079,1.201959463,1.00919404,1.026830213,1.006376948,0.704273123,1.087045565,1.249850036,1.428148514,0.811322638,2.751066887,1.732775985,4.294129299,6.730972994,4.107320853,9.390308306,5.348074027,7.785211169,5.434435519,15.38508113,0,15.59498386,21.39229611,0,0
5.222037724,0.0527988,4.5912,1.75,97.55049758,2.062708723,1.853189084,1.247526236,1.01964849,0.84901091,0.696164194,0.422442746,1.266760995,1.052600261,0.530554467,1.443896106,2.149058867,0.823639593,2.19598549,0.712872135,2.820109582,2.03001479,5.030740305,3.379541972,6.014858636,6.600667914,2.349554155,13.68101874,4.774990207,6.759083944,0,0,0,25.78385904,0
5.246425056,0.049165803,4.2082,1.71,100.2623674,2.048993357,2.248105671,1.913870552,1.155826077,1.29164111,0.467253553,1.020730961,0.816219273,0.807414139,0.759678132,1.329076772,1.795001248,0.884500592,1.684466363,0,4.326421784,0.545004544,4.72716612,6.351214869,1.291862623,8.860511814,7.569507554,3.672986727,5.127827389,14.51706256,10.33490098,14.71512268,0,0,47.8467638
5.275448985,0.06023556,5.2152,1.69,109.8489362,1.378633581,1.594310635,1.054451285,0.94341478,1.674429587,0.305107432,0.740574839,1.221401551,0.527225642,0.930103056,0.542413212,0.627911095,1.443903971,1.924866287,0.937290031,1.059400805,1.334539907,3.858433785,3.702874196,3.163353854,1.446435233,0,5.995971253,4.185463751,17.77379614,16.87122056,12.01085917,0,22.60055051,0
5.312687555,0.05527265,4.8414,1.65,46.31322213,1.650199632,1.507986906,1.489613041,1.082235401,0.811011545,0.74813155,0.706186923,1.089057868,1.14913006,1.013616652,0.98519381,1.824775976,0.786775777,1.198685309,1.361931923,3.078730657,1.454367733,4.204881072,2.421212308,4.596520242,3.152620193,6.733183948,3.267173603,0,0,0,0,0,0,0
5.344420351,0.02360267,2.0202,1.62,159.1105357,3.749075553,3.915246117,3.189367412,2.027500059,1.899223997,2.33596246,2.598743817,1.700234602,2.018271565,3.956139879,2.307123417,2.670783746,2.456625014,2.105307796,0,6.308540594,9.082222044,8.440264953,15.11996403,2.691028754,7.382794935,21.02366214,30.60422284,0,0,21.52823003,0,0,0,99.66773162
5.373534281,0.0569037,4.977,1.64,78.92736466,1.507203915,1.655819006,0.992170806,0.893532683,0.984706558,0.888173736,1.077913962,0.470151926,1.116192157,0.656375343,0.57417292,1.772471805,1.528448313,2.328653973,1.65361801,2.242862969,0.941787132,3.500875837,3.135749708,6.697152941,4.593383361,0,9.520576504,0,6.271499416,0,0,0,23.92387167,0
