Depth (cm),FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,x1_m (ppb),x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb)
22.40486052,0.05395624,4.6514,1.38,159.8486326,1.84184531,2.014928308,1.264363729,0.665183695,0.969264787,1.106999493,0.723416284,0.867710987,0.588583115,0.519173301,2.623998798,0.700986141,1.611942646,1.534913143,1.743949971,2.365383532,2.483085017,6.15352949,0.826761468,0,4.844305474,6.89745838,6.693770473,4.672559706,39.68455044,9.417329841,13.40865909,18.39322235,25.23075768,43.59874926
22.43581293,0.06120475,5.361,1.39,180.0073164,1.890626617,1.480249427,1.345236444,0.244335687,0.732406509,0.450413988,0.455529801,0.437112874,0.518876914,1.37306202,1.601471958,1.029946653,1.657879359,0.541253036,1.229930463,2.432791602,2.626814378,1.627429149,4.373086092,2.075507657,4.270591887,6.080588839,8.851535693,12.35755818,17.49234437,8.302030628,23.6413294,48.64471071,22.24266608,76.87065396
22.46657476,0.057876557,4.9822,1.35,124.590918,1.575955999,1.127067279,1.341303208,0.930190387,0.709979939,1.270173492,0.770760092,1.040060394,1.646144846,0.806677776,0.564521552,1.524843277,1.753215767,2.575700146,1.300657656,2.205162313,2.314891189,2.294686022,5.395320647,4.389719589,4.516172416,8.573671072,12.48072473,4.356059991,12.33216148,0,12.50041242,34.29468429,0,121.9366552
22.49629171,0.0628544,5.4656,1.39,108.5352759,1.776029347,1.297259484,1.422209646,0.42826132,1.129208122,0.584790151,0.975863149,0.638460891,0.631573363,0.742791786,1.21289809,1.805247195,0.461247817,1.581142614,0.898237671,2.707361809,2.557872119,2.112955109,5.677749232,1.01051738,4.158507738,1.973666759,0,4.011075644,5.677749232,24.25241713,23.02084907,15.78933407,0,112.2797089
22.52632959,0.06359269,5.4586,1.39,108.6478412,1.519928375,1.396171953,0.96179355,0.846578697,0.99861435,0.650251048,0.789163938,0.841398097,0.998785609,0.440500932,1.370076282,1.387780236,2.507410855,0.520928691,0.591872954,1.003473839,2.106813395,5.221061005,6.313311506,2.996356828,5.480305127,3.901506287,0,3.964508388,16.83549735,7.990284875,0,15.60602515,21.4074419,73.98411921
22.54771493,0.05358045,4.639,1.39,106.5192038,1.651501491,1.927607133,1.58056315,0.725669755,1.11550033,0.343004156,0.936630015,0.873796735,0.740888977,0.348543038,2.03261722,0.941203404,1.893789464,0.618271343,1.053708767,3.572959957,1.000200119,2.478675069,4.162800067,3.556267088,4.878281328,9.261112209,13.48143534,9.41066202,0,37.93351561,0,0,0,0
22.57584451,0.05277516,4.6294,1.34,93.1831019,1.496133699,1.339013865,1.47095738,0.906760203,0.778608613,0.609416528,0.528289968,0.633664212,0.752194115,0.707722831,1.444542882,1.194456396,1.098678043,0.627705473,0.356595729,2.418319557,3.554117193,1.887372662,4.226319746,3.610531752,4.952718453,4.701213219,13.68714699,4.777129106,0,9.628084672,0,0,25.79540861,0
22.60666556,0.03053368,2.5876,1.39,155.9151988,2.898052022,2.729786663,2.234264353,1.567266534,1.835135711,0.902854669,2.191462354,1.971433327,1.560132867,2.140679565,2.140099955,2.47743321,2.84847304,3.797295272,1.849046361,2.089941362,5.265448427,5.436968521,7.304874513,4.160354313,11.41386643,0,11.82859996,16.51381379,35.06339766,0,23.69451792,0,0,77.04359838
22.6356991,0.060499747,5.3698,1.4,70.11028214,1.395115307,1.287848941,1.010963556,0.593239031,0.802686342,0.683493991,0.921676177,0.884413097,0.524923385,0.926041538,1.260104148,0.62516917,1.437598818,1.095120512,1.244262839,1.757957796,3.986136955,3.841585008,2.949363766,3.149540311,2.880238053,6.151445919,0,0,5.898727532,8.398774161,0,16.40385578,0,38.88321371
22.65727493,0.060796813,5.2714,1.46,94.9009482,1.455474197,1.31135986,1.276876317,0.934705529,0.798764239,0.60458159,0.917172663,0.330034372,0.39176887,1.228688925,1.433082286,1.451600397,0.476858131,0.544884756,0.619091548,2.09924163,2.203699894,1.638348932,5.869905045,7.313018908,4.299246859,12.24277719,2.97030935,0,11.73981009,8.357735894,0,0,22.39191073,0
