Depth (cm),FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,"CPP (≥4.5 µm, ≤10 µm)",x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb),ABK1 (ppb)
24.77027855,0.018651753,1.3028,1.59,80.48694346,25.05740247,2.262632395,2.137238767,1.387358599,0.320709895,1.201676766,0.985339914,1.793756572,0.717181481,1.702667371,2.503128322,1.167810268,0.675943181,3.885888668,0.888046721,3.026964216,4.561758861,4.309876783,7.120431159,4.783350859,10.21600423,4.671241073,6.651044419,0,13.51689294,0,0,0,0,0,0
24.85213421,0.03977184,1.4622,1.59,101.6286457,35.80132607,3.628291338,1.594565585,1.064663903,1.052820613,1.690646847,0.693140562,1.542229193,1.681678806,0.798497928,0.469555666,1.91683316,1.267985135,1.093416401,3.331729865,3.785471657,2.139322723,4.716128385,2.50444521,12.33783355,4.790987566,13.14399881,9.357397589,9.081065552,0,17.94593971,0,0,0,0,59.14799464
24.87487256,0.0151271,1.3154,1.57,305.1125407,82.39025302,4.049755521,1.676958764,1.088574284,1.779462576,1.728615646,0,0.368617747,3.095003158,0,1.234545472,5.03969576,2.500319059,0.958262151,1.094963898,1.244084896,7.030825558,3.54272613,4.389754996,2.948941976,4.198786524,5.759652297,16.40150986,11.93786933,66.66545549,23.59153581,67.18058439,0,65.60603944,0,0
24.93666617,0.021181953,1.5148,1.57,141.1008124,57.03400214,2.442246861,1.283143647,0.777405738,0.14120043,0.352711862,1.952190747,2.10598803,1.263027245,0.374820623,1.322476675,1.028314468,1.190402536,2.053029835,0.781968883,1.7769274,5.021066736,5.060078416,7.837362985,12.63592818,2.998564988,8.226515741,17.56971672,0,11.90229007,16.84790424,0,34.15552931,0,0,0
24.96533623,0.07499934,6.4102,1.59,45.49440396,51.03628369,0.87127603,0.169118308,0.345025308,0.27915321,0.298847678,0.306307979,0.594791103,0.624251124,0.105860038,0.498006857,0.290425343,0.168101819,1.352946462,0.662550966,0.250927497,0.567236999,1.786388135,2.656193886,1.784373309,1.693760602,6.970208239,4.962189264,0,6.723092575,4.758328824,6.775042408,0,0,0,0
24.98393114,0.025714653,2.2136,1.57,40.23285829,46.90088136,1.535286016,0.493250338,0.274445611,0.348933453,0.581079287,0.893377639,0.216845915,0.780295883,0.308751312,1.08936484,0,1.961142593,0.563714673,0,0,3.30880607,1.042035678,1.29117554,1.734767317,4.940020992,0,4.82423925,14.04532589,0,0,0,0,0,0,91.48187022
25.00687177,0.01715,1.5,1.57,150.6775126,66.65678008,2.698899811,1.690463835,1.508843753,1.569568999,1.960353816,0.535810992,0.325138048,0.779982045,3.240584879,1.088926694,1.905105749,0,2.535695752,0.965809235,1.097340911,7.441819332,0,5.807953014,2.601104383,7.407051153,5.080281998,14.46689678,21.05951523,44.10153112,20.80883506,0,0,0,0,0
25.03329839,0.02409919,2.0686,1.57,76.33762709,49.66226466,1.468733067,0.751878351,0.683299814,1.116971497,1.240062626,0.95326425,0.462763895,0.83260218,1.976688749,1.937315405,0,1.046302841,2.406010722,2.749242342,0.780914074,2.64795625,2.223774842,2.755456212,1.851055582,10.54233999,0,5.14762695,7.493419616,10.46150318,14.80844465,0,0,0,0,0
25.05376697,0.023260317,2.0374,1.54,93.14989391,45.48147711,1.931391373,1.012692877,0.303404027,1.157254595,0.321196238,0.790114653,1.43835983,0.287543207,0.68265906,0.802873541,0.46821609,1.084037303,1.246391233,0.712098147,1.618154809,0,4.607948654,7.137076394,5.75343932,8.191908719,11.23718617,15.99982172,15.52733315,10.8387928,0,0,0,0,0,0
25.07967769,0.01502982,1.2846,1.56,87.90783872,23.05706876,2.807888672,1.808370882,0.939102895,1.5919823,1.739804052,0,1.484014451,1.335015198,1.584736135,0.621268013,0.724616431,3.355336385,1.92892894,2.20410203,5.008548774,5.66106587,1.782828152,6.627251304,14.84014451,0,11.5938629,8.253834039,12.01513678,0,0,0,0,0,0,0
25.10512766,0.02417777,2.1302,1.58,63.36501155,63.06357221,1.970714776,0.824378144,0.972970038,0.371113745,0.618016154,0.760132842,1.383779609,0.829896145,0.328377388,0.77240758,0,0,1.798643223,0.685076762,0,4.39891691,0,1.373250362,3.690078958,2.627019102,0,10.26179337,14.93813061,0,14.76031583,0,0,0,0,0
