ID,core,section,cut,sample_number,sampleID,top_depth,bottom_depth,ave_depth,top_depth_adj,bottom_depth_adj,ave_depth_adj,x_m,y_m,dD,d18O,dxs,dln
alhic2302-155_2-r-16,alhic2302,155_2,r,16,alhic2302-155_2-r-16,126.603,126.616,126.6095,126.6514001,126.6644001,126.6579001,0.1095,0.016,-301.98,-37.87,0.95,9.959182393
alhic2302-155_2-r-17,alhic2302,155_2,r,17,alhic2302-155_2-r-17,126.616,126.63,126.623,126.6644001,126.6784001,126.6714001,0.1095,0.016,-299.86,-37.64,1.25,10.44285459
alhic2302-155_2-r-18,alhic2302,155_2,r,18,alhic2302-155_2-r-18,126.63,126.643,126.6365,126.6784001,126.6914001,126.6849001,0.1095,0.016,-298.62,-37.49,1.34,10.55212687
alhic2302-155_2-r-19,alhic2302,155_2,r,19,alhic2302-155_2-r-19,126.643,126.656,126.6495,126.6914001,126.7044001,126.6979001,0.1095,0.016,-297.64,-37.45,1.97,11.50594509
alhic2302-155_2-r-20,alhic2302,155_2,r,20,alhic2302-155_2-r-20,126.656,126.669,126.6625,126.7044001,126.7174001,126.7109001,0.1095,0.016,-296.61,-37.3,1.76,11.31320066
alhic2302-155_2-r-21,alhic2302,155_2,r,21,alhic2302-155_2-r-21,126.669,126.682,126.6755,126.7174001,126.7304001,126.7239001,0.1095,0.016,-295.88,-37.2,1.75,11.24596945
alhic2302-155_2-r-22,alhic2302,155_2,r,22,alhic2302-155_2-r-22,126.682,126.696,126.689,126.7304001,126.7444001,126.7374001,0.1095,0.016,-294.98,-37.1,1.81,11.41954994
alhic2302-155_2-r-23,alhic2302,155_2,r,23,alhic2302-155_2-r-23,126.696,126.709,126.7025,126.7444001,126.7574001,126.7509001,0.1095,0.016,-292.74,-36.8,1.65,11.28471979
alhic2302-155_2-r-24,alhic2302,155_2,r,24,alhic2302-155_2-r-24,126.709,126.722,126.7155,126.7574001,126.7704001,126.7639001,0.1095,0.016,-291.57,-36.61,1.33,10.84657838
alhic2302-155_2-r-25,alhic2302,155_2,r,25,alhic2302-155_2-r-25,126.722,126.735,126.7285,126.7704001,126.7834001,126.7769001,0.1095,0.016,-291.01,-36.53,1.2,10.75709269
alhic2302-155_2-r-26,alhic2302,155_2,r,26,alhic2302-155_2-r-26,126.735,126.749,126.742,126.7834001,126.7974001,126.7904001,0.1095,0.016,-290.71,-36.5,1.29,10.85039032
alhic2302-155_2-r-27,alhic2302,155_2,r,27,alhic2302-155_2-r-27,126.749,126.762,126.7555,126.7974001,126.8104001,126.8039001,0.1095,0.016,-290.21,-36.43,1.22,10.78591036
alhic2302-155_2-r-28,alhic2302,155_2,r,28,alhic2302-155_2-r-28,126.762,126.775,126.7685,126.8104001,126.8234001,126.8169001,0.1095,0.016,-290.55,-36.48,1.33,10.85614563
alhic2302-155_2-r-29,alhic2302,155_2,r,29,alhic2302-155_2-r-29,126.775,126.788,126.7815,126.8234001,126.8364001,126.8299001,0.1095,0.016,-290.39,-36.45,1.23,10.75200621
alhic2302-155_2-r-30,alhic2302,155_2,r,30,alhic2302-155_2-r-30,126.788,126.801,126.7945,126.8364001,126.8494001,126.8429001,0.1095,0.016,-290.62,-36.53,1.62,11.30701974
alhic2302-155_2-r-31,alhic2302,155_2,r,31,alhic2302-155_2-r-31,126.801,126.815,126.808,126.8494001,126.8634001,126.8564001,0.1095,0.016,-290.28,-36.46,1.43,11.01688191
alhic2302-155_2-r-32,alhic2302,155_2,r,32,alhic2302-155_2-r-32,126.815,126.828,126.8215,126.8634001,126.8764001,126.8699001,0.1095,0.016,-290.28,-36.47,1.49,11.12676218
alhic2302-155_2-r-33,alhic2302,155_2,r,33,alhic2302-155_2-r-33,126.828,126.841,126.8345,126.8764001,126.8894001,126.8829001,0.1095,0.016,-289.52,-36.36,1.37,10.98875147
alhic2302-155_2-r-34,alhic2302,155_2,r,34,alhic2302-155_2-r-34,126.841,126.854,126.8475,126.8894001,126.9024001,126.8959001,0.1095,0.016,-289.2,-36.33,1.43,11.10967102
alhic2302-155_2-r-35,alhic2302,155_2,r,35,alhic2302-155_2-r-35,126.854,126.868,126.861,126.9024001,126.9164001,126.9094001,0.1095,0.016,-289.68,-36.39,1.4,11.09297052
alhic2302-155_2-r-36,alhic2302,155_2,r,36,alhic2302-155_2-r-36,126.868,126.881,126.8745,126.9164001,126.9294001,126.9229001,0.1095,0.016,-289.06,-36.31,1.43,11.08706333
alhic2302-155_2-r-37,alhic2302,155_2,r,37,alhic2302-155_2-r-37,126.881,126.894,126.8875,126.9294001,126.9424001,126.9359001,0.1095,0.016,-289.06,-36.3,1.36,10.97729952
alhic2302-155_2-r-38,alhic2302,155_2,r,38,alhic2302-155_2-r-38,126.894,126.907,126.9005,126.9424001,126.9554001,126.9489001,0.1095,0.016,-288.6,-36.25,1.36,11.07541103
alhic2302-155_2-r-39,alhic2302,155_2,r,39,alhic2302-155_2-r-39,126.907,126.92,126.9135,126.9554001,126.9684001,126.9619001,0.1095,0.016,-288.64,-36.22,1.11,10.69004363
alhic2302-155_2-r-40,alhic2302,155_2,r,40,alhic2302-155_2-r-40,126.92,126.934,126.927,126.9684001,126.9824001,126.9754001,0.1095,0.016,-289.11,-36.32,1.41,11.12650253
alhic2302-155_2-r-41,alhic2302,155_2,r,41,alhic2302-155_2-r-41,126.934,126.947,126.9405,126.9824001,126.9954001,126.9889001,0.1095,0.016,-289.14,-36.31,1.38,10.97452993
alhic2302-155_2-r-42,alhic2302,155_2,r,42,alhic2302-155_2-r-42,126.947,126.96,126.9535,126.9954001,127.0084001,127.0019001,0.1095,0.016,-289.33,-36.37,1.62,11.36594804
alhic2302-155_2-r-43,alhic2302,155_2,r,43,alhic2302-155_2-r-43,126.96,126.973,126.9665,127.0084001,127.0214001,127.0149001,0.1095,0.016,-289.1,-36.31,1.35,11.03079821
alhic2302-155_2-r-44,alhic2302,155_2,r,44,alhic2302-155_2-r-44,126.973,126.987,126.98,127.0214001,127.0354001,127.0284001,0.1095,0.016,-289.16,-36.31,1.33,10.9463946
alhic2302-155_2-r-45,alhic2302,155_2,r,45,alhic2302-155_2-r-45,126.987,127,126.9935,127.0354001,127.0484001,127.0419001,0.1095,0.016,-289.2,-36.33,1.47,11.10967102
alhic2302-155_2-r-46,alhic2302,155_2,r,46,alhic2302-155_2-r-46,127,127.026,127.013,127.0484001,127.0744001,127.0614001,0.1095,0.016,-289.3,-36.36,1.6,11.29835335
alhic2302-155_2-stick2-1,alhic2302,155_2,stick2,1,alhic2302-155_2-stick2-1,126.418,126.457,126.4375,126.4311673,126.4701673,126.4506673,0.046,0.016,-289.39,-36.25,0.61,9.964307619
alhic2302-155_2-stick2-2,alhic2302,155_2,stick2,2,alhic2302-155_2-stick2-2,126.457,126.496,126.4765,126.4701673,126.5091673,126.4896673,0.046,0.016,-299.08,-37.52,1.06,10.22797747
alhic2302-155_2-stick2-3,alhic2302,155_2,stick2,3,alhic2302-155_2-stick2-3,126.496,126.536,126.516,126.5091673,126.5491673,126.5291673,0.046,0.016,-300.55,-37.64,0.6,9.456851468
alhic2302-155_2-stick2-4,alhic2302,155_2,stick2,4,alhic2302-155_2-stick2-4,126.536,126.574,126.555,126.5491673,126.5871673,126.5681673,0.046,0.016,-302.05,-37.86,0.84,9.747992128
