ID,dD,d18O,dxs
alhic2302-155_2-l-28,-301.4,-37.84,1.34
alhic2302-155_2-l-29,-299.66,-37.63,1.35
alhic2302-155_2-l-30,-298.17,-37.48,1.64
alhic2302-155_2-l-31,-297.29,-37.38,1.77
alhic2302-155_2-l-32,-295.91,-37.16,1.41
alhic2302-155_2-l-33,-296.03,-37.2,1.61
alhic2302-155_2-l-34,-295.47,-37.11,1.41
alhic2302-155_2-l-35,-295.03,-37.07,1.5
alhic2302-155_2-l-36,-294.36,-37,1.66
alhic2302-155_2-l-37,-292.91,-36.79,1.4
alhic2302-155_2-l-38,-292.72,-36.74,1.23
alhic2302-155_2-l-39,-291.7,-36.64,1.45
alhic2302-155_2-l-40,-290.68,-36.48,1.15
alhic2302-155_2-l-41,-291.38,-36.57,1.21
alhic2302-155_2-l-42,-291.38,-36.57,1.22
alhic2302-155_2-l-43,-290.91,-36.53,1.32
alhic2302-155_2-l-44,-291.26,-36.56,1.22
alhic2302-155_2-l-45,-290.33,-36.46,1.33
alhic2302-155_2-l-46,-289.26,-36.31,1.23
alhic2302-155_2-r-1,-300.14,-37.7,1.44
alhic2302-155_2-r-2,-300.52,-37.78,1.69
alhic2302-155_2-r-3,-300.65,-37.76,1.42
alhic2302-155_2-r-4,-301,-37.8,1.44
alhic2302-155_2-r-5,-301.59,-37.87,1.39
alhic2302-155_2-r-6,-302.57,-37.98,1.29
alhic2302-155_2-r-7,-302.61,-37.97,1.13
alhic2302-155_2-r-8,-303.07,-38.06,1.44
alhic2302-155_2-r-9,-303.12,-38.06,1.37
alhic2302-155_2-r-10,-303.49,-38.15,1.69
alhic2302-155_2-r-11,-303.5,-38.11,1.41
alhic2302-155_2-r-12,-303.09,-38.06,1.36
alhic2302-155_2-r-13,-303.33,-38.1,1.5
alhic2302-155_2-r-14,-302.68,-38,1.3
alhic2302-155_2-r-15,-302.43,-37.97,1.32
alhic2302-155_2-r-16,-302.57,-37.93,0.84
alhic2302-155_2-r-17,-300.45,-37.7,1.15
alhic2302-155_2-r-18,-299.21,-37.56,1.23
alhic2302-155_2-r-19,-298.23,-37.51,1.86
alhic2302-155_2-r-20,-297.2,-37.36,1.65
alhic2302-155_2-r-21,-296.47,-37.26,1.64
alhic2302-155_2-r-22,-295.58,-37.16,1.7
alhic2302-155_2-r-23,-293.33,-36.86,1.54
alhic2302-155_2-r-24,-292.17,-36.67,1.22
alhic2302-155_2-r-25,-291.61,-36.59,1.08
alhic2302-155_2-r-26,-291.31,-36.56,1.18
alhic2302-155_2-r-27,-290.81,-36.49,1.1
alhic2302-155_2-r-28,-291.15,-36.55,1.21
alhic2302-155_2-r-29,-290.99,-36.51,1.12
alhic2302-155_2-r-30,-291.22,-36.59,1.51
alhic2302-155_2-r-31,-290.88,-36.52,1.32
alhic2302-155_2-r-32,-290.88,-36.53,1.37
alhic2302-155_2-r-33,-290.12,-36.42,1.25
alhic2302-155_2-r-34,-289.81,-36.39,1.32
alhic2302-155_2-r-35,-290.28,-36.45,1.28
alhic2302-155_2-r-36,-289.67,-36.37,1.31
alhic2302-155_2-r-37,-289.67,-36.36,1.25
alhic2302-155_2-r-38,-289.2,-36.31,1.25
alhic2302-155_2-r-39,-289.24,-36.28,0.99
alhic2302-155_2-r-40,-289.71,-36.38,1.29
alhic2302-155_2-r-41,-289.74,-36.38,1.27
alhic2302-155_2-r-42,-289.93,-36.43,1.5
alhic2302-155_2-r-43,-289.7,-36.37,1.24
alhic2302-155_2-r-44,-289.76,-36.37,1.22
alhic2302-155_2-r-45,-289.8,-36.39,1.35
